,id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,latitude,longitude
563,564,2015,Hyderabad,11/05/15,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,5,0,DA Warner,Rajiv Gandhi International Stadium,AK Chaudhary,HDPK Dharmasena,,17.406528299999998,78.55048949386448
564,565,2015,Raipur,12/05/15,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Delhi Daredevils,0,6,Z Khan,Shaheed Veer Narayan Singh International Stadium,RK Illingworth,VA Kulkarni,,21.204167,81.823333
565,566,2015,Chandigarh,13/05/15,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kings XI Punjab,22,0,AR Patel,Punjab Cricket Association Stadium,JD Cloete,C Shamshuddin,,30.69085905,76.7374305321502
566,567,2015,Mumbai,14/05/15,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Mumbai Indians,5,0,HH Pandya,Wankhede Stadium,RK Illingworth,VA Kulkarni,,18.9385497,72.82574081674653
567,568,2015,Hyderabad,15/05/15,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,normal,1,Royal Challengers Bangalore,0,6,V Kohli,Rajiv Gandhi International Stadium,AK Chaudhary,HDPK Dharmasena,,17.406528299999998,78.55048949386448
568,569,2015,Chandigarh,16/05/15,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,normal,0,Chennai Super Kings,0,7,P Negi,Punjab Cricket Association Stadium,CK Nandan,C Shamshuddin,,30.69085905,76.7374305321502
569,570,2015,Mumbai,16/05/15,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Rajasthan Royals,9,0,SR Watson,Brabourne Stadium,RM Deshpande,RK Illingworth,,18.9320101,72.82501261609113
570,571,2015,Bangalore,17/05/15,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,no result,0,,0,0,,M Chinnaswamy Stadium,HDPK Dharmasena,K Srinivasan,,12.97881265,77.59957750299715
571,572,2015,Hyderabad,17/05/15,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,Mumbai Indians,0,9,MJ McClenaghan,Rajiv Gandhi International Stadium,CB Gaffaney,K Srinath,,17.406528299999998,78.55048949386448
572,573,2015,Mumbai,19/05/15,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Mumbai Indians,25,0,KA Pollard,Wankhede Stadium,HDPK Dharmasena,RK Illingworth,,18.9385497,72.82574081674653
573,574,2015,Pune,20/05/15,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,71,0,AB de Villiers,Maharashtra Cricket Association Stadium,AK Chaudhary,C Shamshuddin,,18.6738164,73.7064113964208
574,575,2015,Ranchi,22/05/15,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,3,A Nehra,JSCA International Stadium Complex,AK Chaudhary,CB Gaffaney,,23.31045215,85.27487741053811
575,576,2015,Kolkata,24/05/15,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Mumbai Indians,41,0,RG Sharma,Eden Gardens,HDPK Dharmasena,RK Illingworth,,22.564561349999998,88.34424156337812
576,577,2016,Mumbai,09/04/16,Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,normal,0,Rising Pune Supergiants,0,9,AM Rahane,Wankhede Stadium,HDPK Dharmasena,CK Nandan,,18.9385497,72.82574081674653
577,578,2016,Kolkata,10/04/16,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,9,AD Russell,Eden Gardens,S Ravi,C Shamshuddin,,22.564561349999998,88.34424156337812
578,579,2016,Chandigarh,11/04/16,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,5,AJ Finch,Punjab Cricket Association IS Bindra Stadium,AK Chaudhary,VA Kulkarni,,30.69085905,76.7374305321502
579,580,2016,Bangalore,12/04/16,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Royal Challengers Bangalore,45,0,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,VK Sharma,,12.97881265,77.59957750299715
580,581,2016,Kolkata,13/04/16,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,RG Sharma,Eden Gardens,Nitin Menon,S Ravi,,22.564561349999998,88.34424156337812
581,582,2016,Rajkot,14/04/16,Rising Pune Supergiants,Gujarat Lions,Rising Pune Supergiants,bat,normal,0,Gujarat Lions,0,7,AJ Finch,Saurashtra Cricket Association Stadium,VA Kulkarni,CK Nandan,,22.362785549999998,70.71008439911074
